Time,Torque,RPM,Ia,Ib,Ic
5,0,1500,0,-0,0
5.001,-0.00170361848972648,1498.65034382755,0.111178767093746,-0.669296432929201,0.558117665835455
5.002,-0.0258755773599698,1497.29035254791,0.393655119762466,-1.26110709325393,0.867451973491468
5.003,-0.112328251099267,1495.88035913176,0.773962313424525,-1.73052559923896,0.956563285814432
5.004,-0.297871623824644,1494.34258412714,1.18781428566627,-2.053002017241,0.865187731574732
5.005,-0.602237195473488,1492.57150603572,1.58265573125269,-2.22141643763162,0.638760706378929
5.006,-1.02241259390646,1490.45347645423,1.91876585939038,-2.24266036796105,0.323894508570669
5.007,-1.53330015812703,1487.88854122,2.16922858801653,-2.13410740679633,-0.0351211812201961
5.008,-2.09262828750602,1484.80942978771,2.31908810823187,-1.92025995562708,-0.398828152604793
5.009,-2.64820619491898,1481.19458530082,2.36399033818052,-1.62975778290051,-0.734232555280019
5.01,-3.14586882928685,1477.07381581853,2.30856089447603,-1.29282987811795,-1.01573101635808
5.011,-3.53678869102401,1472.52657350122,2.16469164394308,-0.939179316520582,-1.2255123274225
5.012,-3.78321781360378,1467.67395005103,1.94981819303444,-0.596233106161061,-1.35358508687338
5.013,-3.86213526117111,1462.66617296731,1.68519623953736,-0.287679037494492,-1.39751720204287
5.014,-3.7666682104816,1457.66769503177,1.39414879717798,-0.0322467447547366,-1.36190205242324
5.015,-3.50548132852576,1452.8419307305,1.10026807425818,0.157249040515745,-1.25751711477393
5.016,-3.10055567993273,1448.33738932064,0.825606188668376,0.274527398795045,-1.10013358746342
5.017,-2.58389255966601,1444.27648842089,0.588954691893675,0.320018414812475,-0.90897310670615
5.018,-1.99368962942657,1440.74780823061,0.40436612369646,0.300510234924956,-0.704876358621415
5.019,-1.37047272113482,1437.80205042,0.280089222269989,0.22823480526526,-0.508324027535249
5.02,-0.753559256319434,1435.45155418516,0.218063346313199,0.119444122806406,-0.337507469119605
5.021,-0.178108584158296,1433.6729212519,0.214052020016008,-0.00738585834171171,-0.206666161674296
5.022,0.327097314795633,1432.41211298303,0.258406668663713,-0.13352191134649,-0.124884757317223
5.023,0.741090458872693,1431.59129132968,0.337361376976069,-0.241880965617719,-0.09548041135835
5.024,1.05138602301209,1431.11665945987,0.434688359834409,-0.318661890844466,-0.116026468989943
5.025,1.2539461493961,1430.88659614946,0.533505538307103,-0.354534417411078,-0.178971120896025
5.026,1.35253259329053,1430.79945352095,0.618026379586021,-0.34528909988267,-0.272737279703351
5.027,1.35756493455175,1430.76048898914,0.675072871422001,-0.291928349533457,-0.383144521888544
5.028,1.28461737999857,1430.68752200804,0.695223485413023,-0.200244491692887,-0.494978993720136
