Time,Torque,RPM,Ia,Ib,Ic
5,0,1500,0,-0,0
5.001,-0.00170399972410118,1498.78931745304,0.111178193502716,-0.669296428887667,0.558118235384951
5.002,-0.025883647741626,1497.56818825661,0.393650322208615,-1.26110666149162,0.867456339283007
5.003,-0.112379047481928,1496.29692465038,0.773945163434653,-1.73052843183417,0.956583268399515
5.004,-0.298050859122481,1494.89768407965,1.18777739132041,-2.0530235206797,0.865246129359295
5.005,-0.602691967728842,1493.26482023396,1.58260273185991,-2.2214899497801,0.638887217920194
5.006,-1.02334410268925,1491.2844951509,1.91872279038438,-2.2428376945059,0.32411490412152
5.007,-1.5349399685195,1488.85651583296,2.16925167731784,-2.13445140932616,-0.0348002679916813
5.008,-2.09520447665709,1485.91335355828,2.31926411949229,-1.92082946127129,-0.398434658221002
5.009,-2.65190776917338,1482.43321074917,2.36442739651173,-1.63058749146919,-0.733839905042538
5.01,-3.15081640937035,1478.44570735581,2.30937011304033,-1.29390965805481,-1.01546045498553
5.011,-3.54301729804635,1474.03018630261,2.16596222238603,-0.940437933306551,-1.22552428907948
5.012,-3.79067451189395,1469.30772166615,1.95159043430944,-0.597530911191646,-1.35405952311779
5.013,-3.87069127995622,1464.42861265761,1.68743776097711,-0.288812636265682,-1.39862512471143
5.014,-3.7761426398406,1459.55745722405,1.39673897933593,-0.0329665431298399,-1.36377243620609
5.015,-3.51567193039111,1454.85786248799,1.10299462804282,0.157209779304208,-1.26020440734703
5.016,-3.11127182811713,1450.47854636438,0.828175925150071,0.275415348257642,-1.10359127340771
5.017,-2.59498565013785,1446.54211904615,0.591018503802184,0.322019629586494,-0.913038133388678
5.018,-2.00507719954827,1443.13730873689,0.405556149974848,0.303711791878526,-0.709267941853374
5.019,-1.38215370047069,1440.31489896951,0.280064399693551,0.232594232870265,-0.512658632563817
5.02,-0.765619025266646,1438.08723212785,0.216558204468097,0.124771607301809,-0.341329811769906
5.021,-0.190713708152231,1436.43083188341,0.210922744662463,-0.00142867746395208,-0.209494067198511
5.022,0.313713744591755,1435.29150751139,0.253668221417369,-0.127404413578189,-0.12626380783918
5.023,0.726651047257021,1434.59121064685,0.331209889336305,-0.236167212956349,-0.0950426763799563
5.024,1.03559631910252,1434.23589831138,0.42750417098393,-0.313957725566929,-0.113546445417001
5.025,1.23652392162747,1434.12369367663,0.525834116380477,-0.351422591129634,-0.174411525250843
5.026,1.33323595869522,1434.1527111745,0.610536851675945,-0.344259123548845,-0.2662777281271
5.027,1.33621633029553,1434.22801378716,0.66849675390822,-0.293309242308924,-0.375187511599296
5.028,1.26112086527295,1434.26729036881,0.690279091829824,-0.204149164792308,-0.486129927037516
5.029,1.12704804728615,1434.20497416282,0.670835735745992,-0.0862663384753504,-0.584569397270641
5.03,0.954738793936578,1433.99466429767,0.609765326196914,0.0480622552021378,-0.657827581399052
5.031,0.764848536609429,1433.60985219065,0.511148240761749,0.185071867639081,-0.69622010840083
5.032,0.576419033646348,1433.04308489279,0.383001121815902,0.310879423383791,-0.693880545199693
5.033,0.405651164617469,1432.30380728515,0.236410677200269,0.412817356725231,-0.6492280339255
5.034,0.265045645716407,1431.41520571234,0.0844178893286931,0.480636015206113,-0.565053904534806
5.035,0.162940076362338,1430.41042114335,-0.0592636260273058,0.507484306187163,-0.448220680159857
5.036,0.103432670895424,1429.32850850545,-0.181596334289024,0.490585329893011,-0.308988995603986
5.037,0.0866499096925676,1428.21049311854,-0.271521083974458,0.431537539906136,-0.160016455931678
5.038,0.109290518006126,1427.09582161707,-0.321090712476723,0.336196656972424,-0.0151059444957012
5.039,0.165363399692557,1426.0194322845,-0.326315900260443,0.214130105793951,0.112185794466492
5.04,0.247032500764311,1425.00958809281,-0.287623637079257,0.0776810237515496,0.209942613327707
5.041,0.345485772677602,1424.08653407103,-0.209864731328693,-0.0592737333697977,0.26913846469849
5.042,0.451756309065223,1423.26196637816,-0.101855758789015,-0.182746091164379,0.284601849953394
5.043,0.557438892558696,1422.53923885139,0.0245044338966042,-0.28008739644755,0.255582962550946
5.044,0.655262298155365,1421.91418676723,0.155451858093446,-0.341307538763467,0.185855680670021
5.045,0.739494863400724,1421.37641799998,0.276775964728586,-0.360116787787976,0.0833408230593905
5.046,0.806176688053352,1420.91090804511,0.37528449381325,-0.334577333875899,-0.0407071599373515
5.047,0.85318550091082,1420.4997357948,0.4401564407356,-0.26729766633494,-0.17285877440066
5.048,0.880154257360817,1420.12380918018,0.46404122223829,-0.165155282399088,-0.298885939839202
5.049,0.888266706039782,1419.76445119107,0.443793859998475,-0.0385844811020321,-0.405209378896443
5.05,0.879962452879573,1419.40474460009,0.380777834856485,0.0994899432708539,-0.480267778127339
5.051,0.858585531066027,1419.03056522919,0.280713373546186,0.234959549750853,-0.515672923297039
5.052,0.828010323062421,1418.63126619136,0.153094098328198,0.353946626395485,-0.507040724723683
5.053,0.792276143490876,1418.20000681383,0.0102351837794562,0.444187084161331,-0.454422267940787
5.054,0.7552572614488,1417.73374780737,-0.133951287411745,0.496249320709398,-0.362298033297653
5.055,0.720389114837858,1417.23295701508,-0.265334856471363,0.504473832923062,-0.239138976451699
5.056,0.690464536304051,1416.7010866032,-0.370967293778265,0.467544764365833,-0.0965774705875681
5.057,0.667506603995984,1416.14389228295,-0.440371506355725,0.388638166734933,0.0517333396207924
5.058,0.652717866752842,1415.56866811639,-0.466594293066862,0.275130379961265,0.191463913105597
5.059,0.646499707452802,1414.98346725417,-0.446918938566581,0.137890954975001,0.30902798359158
5.06,0.64853090130917,1414.39637062321,-0.383164277393909,-0.00977529745520016,0.39293957484911
5.061,0.657891234230759,1413.8148534749,-0.281535669477435,-0.153437012169173,0.434972681646608
5.062,0.673214435216911,1413.24528531219,-0.152037077110254,-0.2789685929415,0.431005670051754
5.063,0.69285455712401,1412.6925835128,-0.00749785854862398,-0.373963970211236,0.38146182875986
5.064,0.715051102212535,1412.16002628669,0.137691831086504,-0.428988900279009,0.291297069192505
5.065,0.738080343998549,1411.6492175386,0.26901172836724,-0.438543304809481,0.169531576442241
5.066,0.760383119911452,1411.16018554335,0.373264256281949,-0.401633536809197,0.0283692805272478
5.067,0.780662535242607,1410.69158956254,0.439901898862556,-0.321893931369117,-0.118007967493438
5.068,0.797948231261434,1410.2410038195,0.462093785459579,-0.20724322138429,-0.254850564075289
5.069,0.811626879064558,1409.80524652328,0.437422621589987,-0.0691092214475225,-0.368313400142464
5.07,0.821441171731784,1409.38072260116,0.368140939358934,0.07870064590016,-0.446841585259094
5.071,0.827461665815106,1408.96375201331,0.260960574175083,0.221369573488944,-0.482330147664027
5.072,0.830037291793415,1408.55086043242,0.126396452868947,0.344545027804188,-0.470941480673134
5.073,0.829731187873122,1408.13901507836,-0.0222696763623814,0.435768721450348,-0.413499045087967
5.074,0.827248735536776,1407.72579500506,-0.17030241479588,0.485720718786214,-0.315418303990335
5.075,0.823364351465572,1407.30949158864,-0.302972624476224,0.489154366117695,-0.186181741641471
5.076,0.818852813053272,1406.88914088162,-0.407019821593202,0.445429464076627,-0.038409642483425
5.077,0.814429779558323,1406.46449450021,-0.471972736608169,0.358590600472703,0.113382136135466
5.078,0.810704845265521,1406.0359395371,-0.491197578445584,0.23698205440102,0.254215524044564
5.079,0.808149053031648,1405.60438050272,-0.462569953452916,0.0924359927444414,0.370133960708475
5.08,0.807077425463611,1405.1710974731,-0.388702910095792,-0.060887434335561,0.449590344431353
5.081,0.807645838489167,1404.73759454751,-0.276706826177513,-0.207895008480376,0.48460183465789
5.082,0.809860546294709,1404.30545156714,-0.13750276965843,-0.334053565651499,0.471556335309929
5.083,0.813597918295235,1403.87619004932,0.0152448561012285,-0.426834016867304,0.411589160766076
5.084,0.818631490688965,1403.45116171963,0.166472478278535,-0.476962882694182,0.310490404415647
5.085,0.824663263690602,1403.0314651537,0.301206286688183,-0.479356142195804,0.178149855507622
5.086,0.831356264859405,1402.61789313439,0.406048660200018,-0.433641028718554,0.0275923685185361
5.087,0.838365706122608,1402.21091061751,0.470514206983645,-0.344211937144957,-0.126302269838689
5.088,0.845366533140262,1401.8106608637,0.488081770627876,-0.219812835332226,-0.268268935295651
5.089,0.85207574147272,1401.41699546294,0.456856509215676,-0.0726858422504677,-0.384170666965208
5.09,0.858268455795609,1401.02952272359,0.379774691155419,0.0826308602484167,-0.462405551403836
5.091,0.863787382197904,1400.647668237,0.264329293515976,0.230737316252815,-0.495066609768791
5.092,0.868545803661041,1400.27074133108,0.121842239942903,0.356896322450063,-0.478738562392966
5.093,0.872524759884391,1399.89800152339,-0.0336456476830313,0.448496910986122,-0.414851263303091
5.094,0.875765411027243,1399.52871987782,-0.186757732197307,0.496311287262768,-0.30955355506546
5.095,0.878357818731619,1399.16223124585,-0.322301113731082,0.495419993120937,-0.173118879389855
5.096,0.880427486005943,1398.79797461249,-0.426772329757835,0.44571277742682,-0.0189404476689858
5.097,0.882120988800463,1398.43552005252,-0.489700009964771,0.351914538967487,0.137785470997284
5.098,0.883591922683622,1398.07458202956,-0.504691169201227,0.223132612374486,0.281558556826742
5.099,0.884988199682957,1397.71501985355,-0.470076864934023,0.0719689791100244,0.398107885823998
5.1,0.886441487975393,1397.35682698708,-0.389092302632948,-0.0867159386636429,0.47580824129659
5.101,0.888059316430836,1397.00011151913,-0.269572293866521,-0.237266626769162,0.506838920635683
5.102,0.889920091543485,1396.64507049083,-0.123190779315113,-0.36477894377436,0.487969723089474
5.103,0.892071017609411,1396.29196086825,0.0356817596008712,-0.456577050348822,0.420895290747951
5.104,0.894528689466001,1395.94106983937,0.191391199893659,-0.5034745495219,0.312083349628241
5.105,0.897281953043652,1395.59268680388,0.328544109223254,-0.500694437050676,0.172150327827422
5.106,0.900296509402173,1395.24707897644,0.433531174707677,-0.448355779083044,0.014824604375367
5.107,0.903520674706185,1394.90447198845,0.495878946118012,-0.351477585094197,-0.144401361023816
5.108,0.906891699000743,1394.56503630399,0.509295596286489,-0.219497959694102,-0.289797636592387
5.109,0.910342084170668,1394.22887970993,0.472306251785797,-0.0653545992092345,-0.406951652576562
5.11,0.913805416858962,1393.89604563967,0.38841375636592,0.0957837146528376,-0.484197471018757
5.111,0.917221334470328,1393.56651667511,0.26576753359288,0.24801013004778,-0.51377766364066
5.112,0.920539360203191,1393.24022226257,0.116371883037377,0.376250152607506,-0.492622035644882
5.113,0.923721465219384,1392.91704948542,-0.0450892566661746,0.46775430964727,-0.422665052981096
5.114,0.926743332639236,1392.59685565681,-0.202695863811252,0.513365159673028,-0.310669295861776
5.115,0.929594400871686,1392.2794815233,-0.340861640319859,0.508432714239177,-0.167571073919318
5.116,0.932276846851844,1391.9647639851,-0.445875158687759,0.453286819987499,-0.00741166129974061
5.117,0.934803729369553,1391.65254742305,-0.507259904380562,0.353218654552865,0.154041249827697
5.118,0.937196547424929,1391.34269295091,-0.518818320791267,0.217971916909122,0.300846403882145
5.119,0.939482479130799,1391.03508516236,-0.479255887295434,0.0607927577132781,0.418463129582156
5.12,0.941691555519758,1390.72963619117,-0.392322519374541,-0.102868790637321,0.495191310011862
5.121,0.943853994482483,1390.42628713393,-0.266456115263297,-0.256878484427318,0.523334599690615
5.122,0.94599787759655,1390.12500707928,-0.113962206018938,-0.386009106654996,0.499971312673934
5.123,0.94814730183466,1389.82579013909,0.0501904478017703,-0.477446319471199,0.427255871669429
5.124,0.950321084073928,1389.52865097638,0.209840360780966,-0.522060231234159,0.312219870453193
5.125,0.952532043537042,1389.23361937397,0.34922541962729,-0.515316545038401,0.166091125411111
5.126,0.954786839660423,1388.94073438838,0.454539704479147,-0.457736424611752,0.00319672013260429
5.127,0.957086303359659,1388.65003859203,0.515301259260581,-0.35485853688039,-0.16044272238019
5.128,0.959426170187427,1388.36157283305,0.525395314848911,-0.216705758247168,-0.308689556601743
5.129,0.961798105369355,1388.07537184427,0.483689169727174,-0.0568079371018157,-0.426881232625358
5.13,0.96419090309862,1387.79146092404,0.394156961154408,0.109123940507505,-0.503280901661913
5.131,0.966591744895067,1387.50985379914,0.265500792049037,0.264742185625641,-0.530242977674679
5.132,0.968987412754242,1387.23055167507,0.110304366213768,0.394673547262952,-0.50497791347672
5.133,0.971365370250808,1386.95354338725,-0.0561984781620947,0.486038214129857,-0.429839735967762
5.134,0.973714646507674,1386.6788064939,-0.217619736407529,0.529726550731026,-0.312106814323497
5.135,0.976026481757176,1386.40630910069,-0.358030716833704,0.521307004554531,-0.163276287720827
5.136,0.978294716998621,1386.13601217936,-0.463534106553105,0.461474733689459,0.00205937286364603
5.137,0.980515932188797,1385.86787213633,-0.523639426873648,0.355995625528672,0.167643801344976
5.138,0.982689356055749,1385.60184340124,-0.532305737370915,0.215150069438521,0.317155667932393
5.139,0.984816585010776,1385.33788083413,-0.488547979756048,0.0527302119882214,0.435817767767827
5.14,0.986901158228639,1385.07594179131,-0.396546175413851,-0.115311410934389,0.51185758634824
5.141,0.98894804067139,1384.81598773704,-0.265245597487814,-0.272429373240771,0.537674970728585
5.142,0.990963065945303,1384.55798533849,-0.107486215921155,-0.40311489889069,0.510601114811844
5.143,0.992952387012368,1384.30190702878,0.0612537849187129,-0.494426908780151,0.433173123861439
5.144,0.994921975748029,1384.04773106633,0.224377384104316,-0.537273413081355,0.312896028977039
5.145,0.996877203116996,1383.7954411529,0.365801787395268,-0.527316384468914,0.161514597073647
5.146,0.998822521317616,1383.54502569856,0.471544445529751,-0.46541010078887,-0.00613434474088124
5.147,1.00076125858696,1383.29647683684,0.531105598869845,-0.357528746718864,-0.173576852150981
5.148,1.00269552730839,1383.04978929876,0.538510650131947,-0.214189315646812,-0.324321334485135
5.149,1.00462623730607,1382.80495925052,0.492908911757226,-0.0494256108721077,-0.443483300885118
5.15,1.00655319925009,1382.56198318861,0.398668783650117,0.12058649618241,-0.519255279832527
5.151,1.00847529821512,1382.32085696909,0.264958922336788,0.279117816890434,-0.544076739227222
5.152,1.0103907147377,1382.08157502718,0.104855596291357,0.410532505453443,-0.515388101744801
5.153,1.01229717011117,1381.84412982138,-0.0659368044874295,0.50183050408504,-0.43589369959761
5.154,1.01419217391422,1381.60851151454,-0.230626841615543,0.543933591590683,-0.31330674997514
5.155,1.01607325453672,1381.37470788444,-0.372987395760311,0.532587812957451,-0.15960041719714
5.156,1.01793815734133,1381.14270443996,-0.478954872873506,0.468792612756247,0.0101622601172598
5.157,1.01978499962542,1380.91248470639,-0.538018613694368,0.358713449411258,0.17930516428311
5.158,1.02161237630111,1380.68403063529,-0.544263232725766,0.213085468908759,0.331177763817006
5.159,1.02341941479433,1380.45732309087,-0.496960538216059,0.0461659668025448,0.450794571413515
5.16,1.02520578174564,1380.23234236519,-0.400651855028564,-0.125662076659962,0.526313931688526
5.161,1.02697164743941,1380.00906867895,-0.264711653676389,-0.285498541966589,0.550210195642978
5.162,1.02871761632762,1379.78748263129,-0.102434457459077,-0.41758880566572,0.520023263124798
5.163,1.03044463349063,1379.56756557087,0.0702659736734275,-0.508876854097391,0.438610880423963
5.164,1.03215387740393,1379.34929987023,0.236417838444084,-0.550295747149386,0.313877908705301
5.165,1.03384664904071,1379.13266909532,0.379659652148365,-0.537667885767207,0.158008233618842
5.166,1.03552426628361,1378.91765807097,0.485851720216942,-0.472125724290268,-0.0137259959266732
5.167,1.03718797101327,1378.70425285115,0.54447198452204,-0.360010622043509,-0.184461362478531
5.168,1.03883885428919,1378.49244060892,0.54965844276505,-0.212258829596545,-0.337399613168506
5.169,1.04047780293186,1378.28220946494,0.500794887998728,-0.0433341095771025,-0.457460778421626
5.17,1.04210546873795,1378.07354827592,0.402581486965633,0.130188774026681,-0.532770260992315
5.171,1.04372225966418,1377.86644640434,0.264582321687408,0.291250914393575,-0.555833236080983
5.172,1.04532835072522,1377.6608934894,0.100293486302149,0.423986737455887,-0.524280223758036
5.173,1.04692371114445,1377.45687923652,-0.0741774047426249,0.51528710407817,-0.441109699335545
5.174,1.04850814351497,1377.25439323892,-0.241691040016711,0.556094019750243,-0.314402979733531
5.175,1.05008133037748,1377.05342484048,-0.385760565526035,0.542299081886884,-0.156538516360849
5.176,1.05164288366486,1376.85396304478,-0.492174538859554,0.475156572618848,0.0170179662407058
5.177,1.05319239285325,1376.65599647108,-0.550398894304034,0.361169714990897,0.189229179313137
5.178,1.05472946831238,1376.45951335419,-0.554619607258539,0.211460380963459,0.34315922629508
5.179,1.05625377718125,1376.26450158229,-0.504322869144114,0.0406833819108633,0.463639487233251
5.18,1.05776507002566,1376.07094876475,-0.404354917566729,-0.13440861867177,0.538763536238499
5.181,1.05926319746831,1375.87884232053,-0.264454765427887,-0.296608983624337,0.561063749052225
5.182,1.06074811685894,1375.68816957766,-0.0983049175440654,-0.429948415924445,0.528253333468511
5.183,1.06221988980258,1375.49891787468,0.0778073462551338,-0.521267425442328,0.443460079187194
5.184,1.0636786719546,1375.31107465574,0.246587086053268,-0.56151509116113,0.314928005107862
5.185,1.0651246968935,1375.12462755309,0.39143055399781,-0.546645938394023,0.155215384396213
5.186,1.06655825609536,1374.93956445207,0.498058869149583,-0.478026077958128,-0.0200327911914548
5.187,1.06797967706008,1374.75587353594,0.555925749977725,-0.362307881966161,-0.193617868011564
5.188,1.06938930150899,1374.57354330971,0.559260511417878,-0.210784677424599,-0.348475833993279
5.189,1.07078746531164,1374.3925626039,0.507643189780166,-0.0382880947204239,-0.469355095059742
5.19,1.07217448144645,1374.21292056048,0.406054512253546,0.138264220030774,-0.54431873228432
5.191,1.07355062689542,1374.03460660437,0.264394983031674,0.301528273922103,-0.565923256953777
5.192,1.0749161339504,1373.85761040452,0.0965195527332658,0.435437915642385,-0.53195746837565
5.193,1.07627118600965,1373.68192182893,-0.0811179605702454,0.52678606001555,-0.445668099445304
5.194,1.07761591758964,1373.50753089758,-0.251078019394406,0.566527306707363,-0.315449287312956
5.195,1.07895041798968,1373.33442773728,-0.396647884451148,0.55067347398131,-0.154025589530161
5.196,1.08027473784578,1373.16260254148,-0.503485300799699,0.480693403209982,0.0227918975897172
5.197,1.08158889768788,1372.99204553729,-0.561031673773407,0.363376997220532,0.197654676552875
5.198,1.08289289758189,1372.82274696133,-0.563555483513445,0.210176068100742,0.353379415412703
5.199,1.0841867269766,1372.65469704494,-0.510722836555614,0.0360860201755168,0.474636816380097
5.2,1.08547037397565,1372.48788600857,-0.407638388986552,-0.14182237877321,0.549460767759762
5.201,1.08674383340492,1372.32230406444,-0.264351856366771,-0.306077335389147,0.570429191755918
